,target,slct_method,feature_count,c,cv_score,op_hyperparameters,train_accuracy,test_accuracy,auc,f1,precision,recall,coef_pcps,coef_blink,coef_perf,coef_tct_cycle,coef_training,coef_CC,coef_DC,coef_PR,sel_pcps,sel_blink,sel_perf,sel_tct_cycle,sel_training,sel_CC,sel_DC,sel_PR
81,cluster_4,K-Best,1,3.0,0.3976190476190476,{'base_model__C': 3},0.3809523809523809,0.5555555555555556,0.4570341614906832,0.1785714285714285,0.1388888888888889,0.25,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,0,0,0,0,0,0,1
82,cluster_4,K-Best,2,0.7,0.4142857142857142,{'base_model__C': 0.7},0.4126984126984127,0.4074074074074074,0.5207539682539682,0.2290322580645161,0.1931818181818181,0.3208333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,0,0,0,0,1,1,1
83,cluster_4,K-Best,3,9.0,0.3976190476190476,{'base_model__C': 9},0.4761904761904761,0.4074074074074074,0.5503450655624569,0.2026143790849673,0.2149122807017544,0.2083333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,1,0,1,0,0,0,1
84,cluster_4,K-Best,4,4.0,0.4119047619047619,{'base_model__C': 4},0.5079365079365079,0.4814814814814814,0.5005314009661836,0.2970588235294117,0.319078947368421,0.2916666666666666,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,1,0,1,0,1,1,1
85,cluster_4,K-Best,5,0.5,0.4547619047619047,{'base_model__C': 0.5},0.492063492063492,0.4444444444444444,0.6186576949620428,0.2111486486486486,0.25,0.2249999999999999,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,1,0,1,0,1,1,1
86,cluster_4,K-Best,6,0.7,0.4428571428571428,{'base_model__C': 0.7},0.5238095238095238,0.4814814814814814,0.4086456176673568,0.3140151515151514,0.3263888888888889,0.3125,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,0,1,0,1,1,1,1,1
87,cluster_4,K-Best,7,0.9,0.4285714285714285,{'base_model__C': 0.9},0.5396825396825397,0.4444444444444444,0.426923740510697,0.2083333333333333,0.2142857142857143,0.2249999999999999,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,1,1,0,1,1,1,1,1
88,cluster_4,K-Best,8,0.5,0.4547619047619047,{'base_model__C': 0.5},0.5714285714285714,0.4074074074074074,0.3877639751552795,0.1944444444444444,0.2023809523809523,0.2083333333333333,0.0154370941711893,0.0941271705111788,0.2919824665429829,-0.1034294385586953,0.1481676097797652,-0.2808391622816679,-0.0338328389131989,0.3146720011948669,1,1,1,1,1,1,1,1
89,hist_4,K-Best,1,0.6,0.5928571428571429,{'base_model__C': 0.6},0.5873015873015873,0.6296296296296297,0.3609639625080801,0.1931818181818181,0.1574074074074074,0.25,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,0,0,1,1,0
90,hist_4,K-Best,2,0.5,0.5928571428571429,{'base_model__C': 0.5},0.5873015873015873,0.6296296296296297,0.491898028442146,0.1931818181818181,0.1574074074074074,0.25,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,1,0,1,1,0
91,hist_4,K-Best,3,0.5,0.5928571428571429,{'base_model__C': 0.5},0.5873015873015873,0.6296296296296297,0.4828854234001293,0.1931818181818181,0.1574074074074074,0.25,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,1,0,1,1,1
92,hist_4,K-Best,4,4.0,0.5928571428571429,{'base_model__C': 4},0.6190476190476191,0.6666666666666666,0.5665231092436975,0.369047619047619,0.295,0.5,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,1,1,1,1,1
93,hist_4,K-Best,5,0.7,0.5761904761904763,{'base_model__C': 0.7},0.6031746031746031,0.6666666666666666,0.5978781512605043,0.2601744186046512,0.4134615384615384,0.2857142857142857,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,1,0,1,1,1,1,1
